1,홍길동,75,30,83,188,62.6666666667
2,유관순,23,38,95,156,52
3,이순신,34,62,14,110,36.6666666667
4,강감찬,9,52,5,66,22
5,김구,92,35,38,165,55
6,김유신,6,52,61,119,39.6666666667
7,홍길자,40,13,31,84,28
8,홍길순,90,48,84,222,74
9,길동스,56,69,93,218,72.6666666667
10,관순스,53,80,49,182,60.6666666667
11,순신스,83,68,5,156,52
12,Ingeberg,11,32,49,92,30.6666666667
13,Hayyim,37,70,56,163,54.3333333333
14,Aggie,53,97,18,168,56
15,Iris,83,45,59,187,62.3333333333
16,Olenka,59,48,98,205,68.3333333333
17,Artus,31,7,39,77,25.6666666667
18,Orlan,61,99,55,215,71.6666666667
19,Gilberte,14,64,83,161,53.6666666667
20,Brady,32,46,11,89,29.6666666667
21,Tommi,45,37,76,158,52.6666666667
22,Iolande,37,63,51,151,50.3333333333
23,Robinett,24,65,93,182,60.6666666667
24,Trstram,72,61,87,220,73.3333333333
25,Balduin,90,15,78,183,61
26,Amie,25,5,83,113,37.6666666667
27,Marsha,93,57,13,163,54.3333333333
28,Sonya,92,44,56,192,64
29,Nadya,96,38,80,214,71.3333333333
30,Murvyn,100,95,65,260,86.6666666667
31,Ava,70,11,16,97,32.3333333333
32,Reinaldos,43,57,63,163,54.3333333333
33,Ignatius,41,6,42,89,29.6666666667
34,Domeniga,13,35,36,84,28
35,Billie,48,86,9,143,47.6666666667
36,Abrahan,32,76,35,143,47.6666666667
37,Bram,37,29,32,98,32.6666666667
38,Grace,86,48,68,202,67.3333333333
39,Starr,36,24,49,109,36.3333333333
40,Fernande,75,20,52,147,49
41,Natalie,11,34,74,119,39.6666666667
42,Eryn,84,56,20,160,53.3333333333
43,Ginger,17,95,49,161,53.6666666667
44,Hagen,78,89,81,248,82.6666666667
45,Alecia,26,95,13,134,44.6666666667
46,Sharia,22,55,82,159,53
47,Delmor,77,84,17,178,59.3333333333
48,Ellette,29,4,33,66,22
49,Orly,32,100,53,185,61.6666666667
50,Holly,3,80,78,161,53.6666666667
